usage_date,service,region,usage_type,unblended_cost,usage_quantity
2024-06-01,AmazonEC2,us-east-1,InstanceHours,371.1862,339.67
2024-06-01,AmazonEC2,us-west-2,InstanceHours,211.8307,203.79
2024-06-01,AmazonEC2,eu-west-1,InstanceHours,175.1563,212.77
2024-06-01,AmazonEC2,ap-south-1,InstanceHours,105.0939,91.67
2024-06-01,AmazonS3,us-east-1,GB-Month,86.1648,106.61
2024-06-01,AmazonS3,us-west-2,GB-Month,48.718,41.01
2024-06-01,AmazonS3,eu-west-1,GB-Month,36.8134,42.18
2024-06-01,AmazonS3,ap-south-1,GB-Month,23.9461,27.42
2024-06-01,AmazonRDS,us-east-1,InstanceHours,225.2779,231.58
2024-06-01,AmazonRDS,us-west-2,InstanceHours,112.3039,122.54
2024-06-01,AmazonRDS,eu-west-1,InstanceHours,101.5466,110.75
2024-06-01,AmazonRDS,ap-south-1,InstanceHours,67.9668,71.81
2024-06-01,AWSLambda,us-east-1,Requests(M),33.2382,37.78
2024-06-01,AWSLambda,us-west-2,Requests(M),17.5276,17.43
2024-06-01,AWSLambda,eu-west-1,Requests(M),14.2272,13.64
2024-06-01,AWSLambda,ap-south-1,Requests(M),9.0042,10.37
2024-06-01,AmazonCloudFront,us-east-1,GB-Transfer,48.5494,45.22
2024-06-01,AmazonCloudFront,us-west-2,GB-Transfer,29.8859,30.62
2024-06-01,AmazonCloudFront,eu-west-1,GB-Transfer,25.4725,31.3
2024-06-01,AmazonCloudFront,ap-south-1,GB-Transfer,14.0054,12.03
2024-06-01,AmazonEBS,us-east-1,GB-Month,67.945,73.48
2024-06-01,AmazonEBS,us-west-2,GB-Month,34.5142,34.24
2024-06-01,AmazonEBS,eu-west-1,GB-Month,28.4881,23.98
2024-06-01,AmazonEBS,ap-south-1,GB-Month,19.4262,17.5
2024-06-01,AmazonDynamoDB,us-east-1,RCU/WCU,45.0108,53.88
2024-06-01,AmazonDynamoDB,us-west-2,RCU/WCU,25.8496,29.43
2024-06-01,AmazonDynamoDB,eu-west-1,RCU/WCU,21.0534,22.03
2024-06-01,AmazonDynamoDB,ap-south-1,RCU/WCU,12.4429,13.7
2024-06-02,AmazonEC2,us-east-1,InstanceHours,343.8442,376.87
2024-06-02,AmazonEC2,us-west-2,InstanceHours,232.3148,228.41
2024-06-02,AmazonEC2,eu-west-1,InstanceHours,183.1279,220.68
2024-06-02,AmazonEC2,ap-south-1,InstanceHours,103.8006,86.88
2024-06-02,AmazonS3,us-east-1,GB-Month,72.3572,90.2
2024-06-02,AmazonS3,us-west-2,GB-Month,48.1461,42.75
2024-06-02,AmazonS3,eu-west-1,GB-Month,41.4049,37.35
2024-06-02,AmazonS3,ap-south-1,GB-Month,24.6598,29.72
2024-06-02,AmazonRDS,us-east-1,InstanceHours,206.1626,180.02
2024-06-02,AmazonRDS,us-west-2,InstanceHours,129.3199,123.24
2024-06-02,AmazonRDS,eu-west-1,InstanceHours,106.2641,114.96
2024-06-02,AmazonRDS,ap-south-1,InstanceHours,65.3153,70.23
2024-06-02,AWSLambda,us-east-1,Requests(M),31.6838,27.43
2024-06-02,AWSLambda,us-west-2,Requests(M),19.7867,20.01
2024-06-02,AWSLambda,eu-west-1,Requests(M),15.3053,13.86
2024-06-02,AWSLambda,ap-south-1,Requests(M),8.4644,8.26
2024-06-02,AmazonCloudFront,us-east-1,GB-Transfer,50.8538,50.4
2024-06-02,AmazonCloudFront,us-west-2,GB-Transfer,34.4302,35.46
2024-06-02,AmazonCloudFront,eu-west-1,GB-Transfer,25.6776,27.74
2024-06-02,AmazonCloudFront,ap-south-1,GB-Transfer,14.934,14.88
2024-06-02,AmazonEBS,us-east-1,GB-Month,62.6297,64.96
2024-06-02,AmazonEBS,us-west-2,GB-Month,39.3428,35.69
2024-06-02,AmazonEBS,eu-west-1,GB-Month,29.8133,25.44
2024-06-02,AmazonEBS,ap-south-1,GB-Month,18.3573,16.34
2024-06-02,AmazonDynamoDB,us-east-1,RCU/WCU,45.6124,40.67
2024-06-02,AmazonDynamoDB,us-west-2,RCU/WCU,26.1707,29.92
2024-06-02,AmazonDynamoDB,eu-west-1,RCU/WCU,21.415,19.07
2024-06-02,AmazonDynamoDB,ap-south-1,RCU/WCU,13.738,11.86
2024-06-03,AmazonEC2,us-east-1,InstanceHours,396.411,444.82
2024-06-03,AmazonEC2,us-west-2,InstanceHours,245.3943,252.76
2024-06-03,AmazonEC2,eu-west-1,InstanceHours,214.9748,267.79
2024-06-03,AmazonEC2,ap-south-1,InstanceHours,128.6314,128.08
2024-06-03,AmazonS3,us-east-1,GB-Month,79.8093,94.12
2024-06-03,AmazonS3,us-west-2,GB-Month,52.1828,55.81
2024-06-03,AmazonS3,eu-west-1,GB-Month,44.4194,44.09
2024-06-03,AmazonS3,ap-south-1,GB-Month,27.8727,25.78
2024-06-03,AmazonRDS,us-east-1,InstanceHours,265.357,223.93
2024-06-03,AmazonRDS,us-west-2,InstanceHours,155.0709,172.16
